Treatment,Biol_rep,Tech_rep,Ix,Sample
control,1,1,1,BC01-16s-1
control,1,1,1,BC01-18s-1
control,1,3,2,BC01-16s-3
control,1,3,2,BC01-18s-3
control,2,1,3,BC02-16s-1
control,2,1,3,BC02-18s-1
control,2,3,4,BC02-16s-3
control,2,3,4,BC02-18s-3
control,3,1,5,BC03-16s-1
control,3,1,5,BC03-18s-1
control,3,3,6,BC03-16s-3
control,3,3,6,BC03-18s-3
control,4,1,7,BC04-16s-1
control,4,1,7,BC04-18s-1
control,4,3,8,BC04-16s-3
control,4,3,8,BC04-18s-3
control,5,1,9,BC05-16s-1
control,5,1,9,BC05-18s-1
control,5,3,10,BC05-16s-3
control,5,3,10,BC05-18s-3
MP,1,1,11,BMP01-16s-1
MP,1,1,11,BMP01-18s-1
MP,1,3,12,BMP01-16s-3
MP,1,3,12,BMP01-18s-3
MP,2,1,13,BMP02-16s-1
MP,2,1,13,BMP02-18s-1
MP,2,3,14,BMP02-16s-3
MP,2,3,14,BMP02-18s-3
MP,3,1,15,BMP03-16s-1
MP,3,1,15,BMP03-18s-1
MP,3,3,16,BMP03-16s-3
MP,3,3,16,BMP03-18s-3
MP,4,1,17,BMP04-16s-1
MP,4,1,17,BMP04-18s-1
MP,4,3,18,BMP04-16s-3
MP,4,3,18,BMP04-18s-3
MP,5,1,19,BMP05-16s-1
MP,5,1,19,BMP05-18s-1
MP,5,3,20,BMP05-16s-3
MP,5,3,20,BMP05-18s-3
A,1,1,21,BA01-16s-1
A,1,1,21,BA01-18s-1
A,1,3,22,BA01-16s-3
A,1,3,22,BA01-18s-3
A,2,1,23,BA02-16s-1
A,2,1,23,BA02-18s-1
A,2,3,24,BA02-16s-3
A,2,3,24,BA02-18s-3
A,3,1,25,BA03-16s-1
A,3,1,25,BA03-18s-1
A,3,3,26,BA03-16s-3
A,3,3,26,BA03-18s-3
A,4,1,27,BA04-16s-1
A,4,1,27,BA04-18s-1
A,4,3,28,BA04-16s-3
A,4,3,28,BA04-18s-3
A,5,1,29,BA05-16s-1
A,5,1,29,BA05-18s-1
A,5,3,30,BA05-16s-3
A,5,3,30,BA05-18s-3
