ASV1,ASV2,ASV3,ASV4,ASV5,ASV6,ASV7,ASV8,ASV9,ASV10,ASV11,ASV12,ASV13,ASV14,ASV15,ASV16,ASV17,ASV18,ASV19,ASV20,ASV21,ASV22,ASV23,ASV24,ASV25,ASV26,ASV27,ASV28,ASV29,ASV30,ASV31,ASV32,ASV33,ASV34,ASV35,ASV36,ASV37,ASV38,ASV39,ASV40,ASV41,ASV42,ASV43,ASV44,ASV45,ASV46,ASV47,ASV48,ASV49,ASV50,ASV51,ASV52,ASV53,ASV54,ASV55,ASV56,ASV57,ASV58,ASV59,ASV60,ASV61,ASV62,ASV63,ASV64,ASV65,ASV66,ASV67,ASV68,ASV69,ASV70,ASV71,ASV72,ASV73,ASV74,ASV75,ASV76,ASV77,ASV78,ASV79,ASV80,ASV81,ASV82,ASV83,ASV84,ASV85,ASV86,ASV87,ASV88,ASV89,ASV90,ASV91,ASV92,ASV93,ASV94,ASV95,ASV96,ASV97,ASV98,ASV99,ASV100,ASV101,ASV102,ASV103,ASV104,ASV105,ASV106,ASV107,ASV108,ASV109,ASV110,ASV111,ASV112,ASV113,ASV114,ASV115,ASV116,ASV117,ASV118,ASV119,ASV120,ASV121,ASV122,ASV123,ASV124,ASV125,ASV126,ASV127,ASV128,ASV129,ASV130,ASV131,ASV132,ASV133,ASV134,ASV135,ASV136,ASV137,ASV138,ASV139,ASV140,ASV141,ASV142,ASV143,ASV144,ASV145,ASV146,ASV147,ASV148,ASV149,ASV150,ASV151,ASV152,ASV153,ASV154,ASV155,ASV156,ASV157,ASV158,ASV159,ASV160,ASV161,ASV162,ASV163,ASV164,ASV165,ASV166,ASV167,ASV168,ASV169,ASV170,ASV171,ASV172,ASV173,ASV174,ASV175,ASV176,ASV177,ASV178,ASV179,ASV180,ASV181,ASV182,ASV183,ASV184,ASV185,ASV186,ASV187,ASV188,ASV189,ASV190,ASV191,ASV192,ASV193,ASV194,ASV195,ASV196,ASV197,ASV198,ASV199,ASV200,ASV201,ASV202,ASV203,ASV204,ASV205,ASV206,ASV207,ASV208,ASV209,ASV210,ASV211,ASV212,ASV213,ASV214,ASV215,ASV216,ASV217,ASV218,ASV219,ASV220,ASV221,ASV222,ASV223,ASV224,ASV225,ASV226,ASV227,ASV228,ASV229,ASV230,ASV231,ASV232,ASV233,ASV234,ASV235,ASV236,ASV237,ASV238,ASV239,ASV240,ASV241,ASV242,ASV243,ASV244,ASV245,ASV246,ASV247,ASV248,ASV249,ASV250,ASV251,ASV252,ASV253,ASV254,ASV255,ASV256,ASV257,ASV258,ASV259,ASV260,ASV261,ASV262,ASV263,ASV264,ASV265,ASV266,ASV267,ASV268,ASV269,ASV270,ASV271,ASV272,ASV273,ASV274,ASV275,ASV276,ASV277,ASV278,ASV279,ASV280,ASV281,ASV282,ASV283,ASV284,ASV285,ASV286,ASV287,ASV288,ASV289,ASV290,ASV291,ASV292,ASV293,ASV294,ASV295,ASV296,ASV297,ASV298,ASV299,ASV300,ASV301,ASV302,ASV303,ASV304,ASV305,ASV306,Sample
254,99,108,54,43,14,36,34,28,24,19,23,20,3,20,15,19,14,17,9,22,11,13,7,14,18,12,12,11,13,8,9,8,17,13,3,16,9,10,23,12,9,8,8,3,6,6,9,10,6,4,4,8,6,16,7,10,4,3,6,6,4,8,4,3,10,5,5,4,7,7,7,2,2,1,2,6,2,3,5,1,5,5,0,2,1,2,6,4,0,5,2,0,2,1,3,0,1,0,3,1,4,1,2,4,1,4,6,2,4,2,2,3,4,1,6,2,0,1,2,4,4,1,5,3,2,5,3,4,0,1,0,2,3,0,0,2,1,3,1,1,1,2,2,0,0,0,2,7,2,1,2,2,2,2,1,0,0,2,1,2,0,3,0,1,1,0,0,0,1,2,2,3,3,0,0,1,0,1,3,0,3,0,2,1,0,0,2,0,2,2,5,1,1,1,0,0,0,0,3,1,0,2,0,0,0,1,1,2,2,2,1,1,1,0,1,0,5,1,0,3,1,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,2,1,1,0,0,0,0,0,0,3,2,1,1,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,BC03_18s_1
226,141,106,38,70,32,40,33,23,33,44,36,30,22,24,18,7,11,12,9,25,34,25,11,9,14,8,19,25,12,6,20,13,16,15,2,17,15,7,36,10,12,9,7,6,13,7,11,8,11,6,9,7,6,10,6,2,11,1,0,2,8,4,11,1,6,11,8,10,7,10,5,6,2,7,4,10,4,5,3,2,3,2,3,5,3,2,0,4,8,6,4,4,3,6,5,0,6,4,5,4,5,1,5,2,4,3,4,2,4,5,3,6,3,1,1,1,2,2,8,4,0,3,0,5,4,0,3,0,12,1,0,1,0,3,0,0,7,2,0,4,1,2,1,1,5,0,1,0,0,3,0,26,2,1,2,2,2,7,1,3,3,1,2,2,2,1,1,0,1,3,3,1,3,1,0,0,0,3,3,0,0,2,1,1,2,0,1,0,0,0,1,0,1,1,2,1,0,0,1,0,1,2,1,1,1,0,1,2,1,1,0,0,1,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,1,1,0,0,2,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,BA02_18s_1
108,61,29,29,36,35,28,14,26,15,21,10,8,19,7,11,14,9,27,14,9,19,4,8,9,5,12,4,14,10,14,2,1,4,6,7,7,10,8,2,4,15,0,6,4,2,2,3,5,2,4,3,4,2,11,4,2,1,8,3,8,3,3,1,5,1,12,4,0,3,0,1,3,2,2,4,0,3,0,2,2,5,2,4,1,7,0,4,1,2,3,6,3,1,1,1,4,2,7,0,1,1,2,0,3,0,2,1,4,1,1,0,1,0,1,3,0,4,3,1,1,0,2,3,2,1,2,0,1,11,0,2,2,1,2,2,1,1,1,2,1,2,0,0,2,1,0,1,0,0,0,0,0,1,0,1,0,1,0,2,2,4,0,3,0,1,0,0,4,1,5,1,2,2,2,0,1,0,0,3,1,0,2,1,0,0,0,1,1,1,1,0,1,0,1,0,2,0,3,1,2,0,0,1,0,0,0,0,1,1,0,2,0,0,0,1,0,0,1,1,0,0,0,0,2,1,0,0,1,0,2,0,2,1,2,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,BMP05_18s_3
149,94,62,48,71,75,18,28,35,27,51,27,12,54,13,14,19,20,8,29,21,20,14,16,17,16,10,7,19,11,17,3,12,6,8,22,2,8,8,0,2,12,7,15,10,5,4,3,9,3,3,3,4,8,1,4,7,8,6,0,5,6,0,6,4,4,14,4,5,1,9,3,8,8,3,7,9,7,3,4,3,4,1,7,14,3,6,7,4,3,3,5,4,8,3,1,1,1,14,2,5,3,4,4,0,13,1,0,0,3,1,2,2,0,0,1,4,0,6,0,1,3,3,0,5,0,3,1,2,0,1,5,0,1,6,0,2,3,2,1,5,3,2,3,5,0,0,2,0,1,2,1,0,1,1,1,1,0,1,3,2,4,2,0,1,3,0,1,2,1,1,2,0,0,2,0,0,1,1,0,0,1,0,2,0,1,1,3,2,0,0,0,0,0,4,1,1,0,0,1,1,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,2,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,BMP02_18s_3
284,87,116,84,31,46,49,25,41,26,16,29,20,25,22,34,30,13,38,15,18,3,17,17,19,18,17,15,4,11,14,22,10,17,5,25,13,9,12,0,15,12,8,12,9,19,11,16,5,11,6,3,7,11,0,2,11,16,12,3,4,21,2,4,0,10,6,1,15,12,7,10,4,1,6,13,5,1,7,2,2,6,8,5,3,4,4,6,6,5,7,2,10,5,3,3,20,7,4,7,5,3,8,5,1,4,2,8,2,0,7,2,1,3,1,3,7,6,0,7,6,1,4,2,3,2,4,3,2,2,9,2,5,1,2,0,2,1,0,3,1,6,3,5,0,1,0,1,2,7,1,1,0,4,0,2,0,2,1,1,1,1,0,4,4,2,2,3,0,1,2,0,0,2,3,2,1,2,1,1,2,0,3,0,1,1,2,1,1,0,1,1,1,1,1,1,1,13,1,0,0,2,1,1,3,0,0,0,2,1,2,0,3,1,0,0,0,0,0,1,0,2,0,2,1,1,4,1,0,3,1,0,0,2,1,1,1,1,0,0,1,1,2,0,4,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,1,0,0,1,2,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BC02_18s_3
116,29,64,42,12,54,18,16,28,8,10,8,11,23,10,13,15,12,7,11,7,5,9,7,8,8,7,4,4,2,7,14,12,9,6,1,2,5,4,3,2,5,5,5,3,7,2,2,4,3,0,5,6,6,3,0,3,1,2,5,3,2,2,2,5,3,12,3,3,2,8,5,0,2,6,6,1,2,1,2,3,1,3,1,2,7,4,1,5,2,2,1,0,2,5,1,0,0,5,1,1,2,1,1,1,1,2,1,0,4,2,2,2,2,4,1,2,0,1,0,0,0,1,1,0,1,2,2,3,0,0,2,1,0,3,3,0,0,0,5,0,1,1,1,3,1,0,1,0,2,0,0,0,1,0,2,0,0,0,2,1,2,2,1,1,1,1,4,2,2,0,0,0,2,4,0,1,4,1,0,5,1,2,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BC04_18s_1
357,144,99,50,21,40,50,30,9,26,17,26,40,16,30,24,19,15,15,8,21,5,21,11,11,17,14,11,6,11,4,16,15,13,22,13,20,5,8,0,20,11,11,7,7,5,7,10,9,5,8,7,12,4,1,14,3,5,2,0,3,1,2,4,3,11,2,4,0,4,7,8,5,2,7,3,5,3,2,2,7,3,0,10,7,1,6,3,7,5,9,5,3,2,5,9,0,6,5,2,5,8,4,1,2,5,4,0,4,1,1,4,6,6,1,1,0,0,4,3,3,1,3,4,2,3,3,4,5,2,2,2,1,3,4,3,6,8,1,2,1,1,1,2,0,4,15,2,2,1,3,5,0,2,1,2,3,0,0,2,1,0,0,0,2,0,2,2,2,1,0,1,2,1,2,1,0,1,2,0,0,1,1,1,2,0,2,1,1,1,1,0,2,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,3,0,0,1,5,0,3,0,0,0,1,4,2,0,1,0,4,0,1,0,0,1,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,1,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,BA03_18s_1
275,127,89,64,77,87,27,51,64,51,39,25,24,46,19,23,30,29,10,27,27,44,11,22,19,22,18,9,20,9,28,12,20,15,9,4,11,9,23,0,8,6,9,4,19,8,14,6,13,11,5,12,15,6,15,13,19,1,5,24,9,13,10,10,9,7,7,13,11,5,11,5,14,11,5,12,5,25,4,7,8,7,8,15,7,7,8,9,3,5,4,2,4,6,7,5,14,13,8,6,2,7,3,6,3,6,0,7,4,10,7,3,5,3,1,9,4,4,9,1,0,3,2,4,6,2,4,4,4,0,3,1,2,2,5,3,8,3,4,5,0,2,1,7,0,4,2,3,7,2,1,2,0,0,0,3,1,4,1,6,0,0,0,1,2,2,1,1,5,1,0,3,1,1,5,0,2,8,2,0,0,1,1,1,1,0,1,0,1,1,2,1,2,0,1,2,2,0,2,3,1,1,0,0,2,0,1,1,1,0,1,1,3,1,0,1,2,2,0,0,3,0,1,1,3,0,1,2,0,2,0,2,1,1,0,0,0,1,0,3,1,0,0,2,0,1,1,2,0,2,1,0,1,0,1,0,1,1,0,0,0,2,0,2,0,1,1,1,0,0,1,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,BMP03_18s_3
218,80,85,58,41,51,30,34,30,33,25,10,23,22,25,22,28,12,15,23,17,7,17,13,14,14,18,18,12,13,6,31,9,13,19,9,9,9,9,0,7,4,11,13,5,3,11,9,6,8,7,9,10,7,8,2,7,16,6,7,5,11,5,8,6,9,7,4,0,4,6,1,5,4,2,3,6,4,8,3,3,2,6,4,5,15,7,4,5,5,3,4,10,3,2,4,2,1,4,6,4,2,4,6,2,2,4,6,2,3,0,3,5,2,2,0,7,5,0,4,4,4,0,5,4,0,2,0,2,2,4,3,2,3,2,6,1,2,3,0,9,0,2,1,1,0,0,1,2,2,1,1,0,0,5,1,0,2,3,4,3,0,1,0,2,2,0,2,2,0,4,0,0,1,0,1,1,1,0,2,1,1,2,0,0,1,2,2,4,0,1,2,0,0,1,1,1,0,2,1,2,0,0,1,4,0,1,0,0,4,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3,1,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,BC01_18s_1
99,51,39,34,32,55,10,14,20,27,27,12,4,35,4,10,14,13,11,10,15,15,16,11,10,8,8,6,10,13,12,4,5,4,5,8,1,6,4,0,2,7,3,7,6,5,3,2,5,2,4,8,1,2,2,3,5,2,3,0,6,2,5,4,3,1,9,6,3,2,3,6,1,2,6,4,2,2,2,4,5,4,1,5,2,1,1,3,0,2,2,1,1,6,1,2,1,2,7,0,1,0,6,1,1,2,1,1,2,3,1,2,1,2,0,2,1,2,1,2,3,0,0,1,4,0,1,0,1,0,2,1,1,1,6,1,1,0,0,1,2,1,1,0,3,1,0,1,0,3,1,2,0,3,1,0,2,0,0,1,0,2,1,1,1,0,0,0,3,1,0,0,4,0,1,1,2,0,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,2,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,2,0,1,0,2,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BMP02_18s_1
