Otu,domain,phylum,class,order,family,genus,species
ASV1,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Gomphonema,NA
ASV2,Eukaryota,NA,NA,NA,NA,NA,NA
ASV3,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Achnanthidium,NA
ASV6,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV22,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Telotrochidium,NA
ASV5,Eukaryota,NA,NA,NA,NA,NA,NA
ASV9,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV14,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV20,Eukaryota,Chytridiomycota,Chytridiomycetes,Rhizophydiales,Rhizophydiaceae,Rhizophydium,NA
ASV4,Eukaryota,Diatomea,NA,NA,Melosirids,Melosira,NA
ASV13,Eukaryota,Diatomea,NA,NA,NA,NA,NA
ASV12,Eukaryota,Cercozoa,Thecofilosea,NA,NA,NA,NA
ASV17,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV11,Eukaryota,NA,NA,NA,NA,NA,NA
ASV40,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Telotrochidium,NA
ASV32,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Nitzschia,NA
ASV15,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Nitzschia,NA
ASV7,Eukaryota,Diatomea,NA,Fragilariales,NA,Ulnaria,NA
ASV10,Eukaryota,NA,Tubulinea,NA,NA,BOLA868,NA
ASV27,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Euplotia,Aspidisca,NA
ASV58,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Tetrahymena,NA
ASV31,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Euplotia,Aspidisca,NA
ASV28,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Navicula,NA
ASV60,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Prostomatea,Placus,NA
ASV19,Eukaryota,Ciliophora,Intramacronucleata,Litostomatea,Haptoria,NA,NA
ASV34,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Gomphonema,NA
ASV23,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Nitzschia,NA
ASV45,Eukaryota,Labyrinthulomycetes,NA,NA,Amphitraemidae,NA,NA
ASV61,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Euplotia,Aspidisca,NA
ASV56,Eukaryota,NA,Chlorophyceae,Sphaeropleales,NA,Dictyococcus,NA
ASV49,Eukaryota,Chytridiomycota,Chytridiomycetes,NA,NA,NA,NA
ASV26,Eukaryota,Apusomonadidae,NA,NA,NA,Amastigomonas,NA
ASV46,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Navicula,NA
ASV86,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Hypotrichia,NA,NA
ASV16,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Encyonema,NA
ASV83,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Phyllopharyngea,Tokophrya,NA
ASV62,Eukaryota,Ciliophora,Intramacronucleata,Litostomatea,Haptoria,NA,NA
ASV99,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV36,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Vorticella,NA
ASV44,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV18,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV76,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Euplotia,Aspidisca,NA
ASV153,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV37,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Gomphonema,NA
ASV57,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Euplotia,Aspidisca,NA
ASV35,Eukaryota,Diatomea,NA,NA,NA,NA,NA
ASV29,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Cothurnia,NA
ASV21,Eukaryota,NA,Tubulinea,NA,NA,BOLA868,NA
ASV67,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV82,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Euplotia,Aspidisca,NA
ASV41,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Gomphonema,NA
ASV84,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV48,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Navicula,NA
ASV147,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV59,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Euplotia,Aspidisca,NA
ASV55,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Phyllopharyngea,Tokophrya,NA
ASV43,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Navicula,NA
ASV75,Eukaryota,Labyrinthulomycetes,NA,NA,Amphitraemidae,NA,NA
ASV130,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Euplotia,Aspidisca,NA
ASV80,Eukaryota,NA,NA,NA,NA,NA,NA
ASV51,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Cocconeis,NA
ASV39,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Phyllopharyngea,NA,NA
