ASV1,ASV2,ASV3,ASV4,ASV5,ASV6,ASV7,ASV8,ASV9,ASV10,ASV11,ASV12,ASV13,ASV14,ASV15,ASV16,ASV17,ASV18,ASV19,ASV20,ASV21,ASV22,ASV23,ASV24,ASV25,ASV26,ASV27,ASV28,ASV29,ASV30,ASV31,ASV32,ASV33,ASV34,ASV35,ASV36,ASV37,ASV38,ASV39,ASV40,ASV41,ASV42,ASV43,ASV44,ASV45,ASV46,ASV47,ASV48,ASV49,ASV50,ASV51,ASV52,ASV53,ASV54,ASV55,ASV56,ASV57,ASV58,ASV59,ASV60,ASV61,ASV62,ASV63,ASV64,ASV65,ASV66,ASV67,ASV68,ASV69,ASV70,ASV71,ASV72,ASV73,ASV74,ASV75,ASV76,ASV77,ASV78,ASV79,ASV80,ASV81,ASV82,ASV83,ASV84,ASV85,ASV86,ASV87,ASV88,ASV89,ASV90,ASV91,ASV92,ASV93,ASV94,ASV95,ASV96,ASV97,ASV98,ASV99,ASV100,ASV101,ASV102,ASV103,ASV104,ASV105,ASV106,ASV107,ASV108,ASV109,ASV110,ASV111,ASV112,ASV113,ASV114,ASV115,ASV116,ASV117,ASV118,ASV119,ASV120,ASV121,ASV122,ASV123,ASV124,ASV125,ASV126,ASV127,ASV128,ASV129,ASV130,ASV131,ASV132,ASV133,ASV134,ASV135,ASV136,ASV137,ASV138,ASV139,ASV140,ASV141,ASV142,ASV143,ASV144,ASV145,ASV146,ASV147,ASV148,ASV149,ASV150,ASV151,ASV152,ASV153,ASV154,ASV155,ASV156,ASV157,ASV158,ASV159,ASV160,ASV161,ASV162,ASV163,ASV164,ASV165,ASV166,ASV167,ASV168,ASV169,ASV170,ASV171,ASV172,ASV173,ASV174,ASV175,ASV176,ASV177,ASV178,ASV179,ASV180,ASV181,ASV182,ASV183,ASV184,ASV185,ASV186,ASV187,ASV188,ASV189,ASV190,ASV191,ASV192,ASV193,ASV194,ASV195,ASV196,ASV197,ASV198,ASV199,ASV200,ASV201,ASV202,ASV203,ASV204,ASV205,ASV206,ASV207,ASV208,ASV209,ASV210,ASV211,ASV212,ASV213,ASV214,ASV215,ASV216,ASV217,ASV218,ASV219,ASV220,ASV221,ASV222,ASV223,ASV224,ASV225,ASV226,ASV227,ASV228,ASV229,ASV230,ASV231,ASV232,ASV233,ASV234,ASV235,ASV236,ASV237,ASV238,ASV239,ASV240,ASV241,ASV242,ASV243,ASV244,ASV245,ASV246,ASV247,ASV248,ASV249,ASV250,ASV251,Sample
1069,589,718,364,279,187,102,135,87,98,65,49,72,75,22,47,145,28,91,59,143,0,58,42,37,45,42,85,30,26,48,74,63,24,28,17,17,33,40,16,33,23,25,29,39,17,25,25,29,31,8,22,15,20,16,19,17,8,17,11,14,32,9,15,14,8,25,11,19,15,9,8,14,6,13,10,8,10,16,12,18,16,4,17,11,10,19,11,5,12,10,9,9,4,12,3,9,12,11,11,9,11,8,10,9,10,12,4,6,8,10,2,8,15,5,7,16,10,5,10,7,9,3,6,4,9,2,10,9,5,4,3,12,3,4,2,4,18,5,3,4,6,2,0,0,9,5,4,1,7,4,2,3,2,6,7,7,2,0,6,5,2,3,0,5,3,0,0,9,2,1,3,0,6,3,2,0,0,5,4,3,5,4,3,3,1,1,0,0,1,4,1,1,1,0,0,2,2,0,0,2,3,2,3,3,1,0,2,1,1,0,3,1,3,6,4,7,3,2,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,2,1,1,2,0,0,0,0,0,SC05_18s_3
970,512,475,418,227,139,107,107,85,82,83,73,68,65,171,37,55,65,42,52,21,0,41,29,40,26,74,31,23,19,30,27,9,27,23,28,40,31,15,10,15,30,9,12,19,24,17,9,23,13,9,26,12,10,25,25,24,11,15,16,14,6,10,12,13,25,9,11,13,10,10,7,8,9,11,10,13,4,5,10,4,12,15,10,5,14,10,6,11,6,8,8,7,5,3,2,14,12,7,9,2,6,8,4,2,3,11,2,2,6,4,9,5,5,3,4,2,5,4,2,3,2,3,4,5,2,7,1,4,5,4,1,6,5,2,3,3,2,0,0,3,12,4,0,2,6,1,3,2,2,3,3,1,1,1,0,2,4,0,2,3,4,3,5,1,6,3,0,1,2,4,3,4,5,0,2,3,3,1,2,1,0,4,1,1,4,2,2,6,1,2,0,0,2,1,0,1,2,4,1,2,3,3,1,2,2,0,0,1,2,0,1,1,0,0,2,1,1,1,2,0,0,3,3,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,SMP05_18s_3
36,20,27,8,7,10,5,5,1,2,8,3,3,10,0,1,2,3,6,2,3,0,2,1,1,2,3,1,0,1,3,2,0,0,1,0,2,7,1,1,3,0,2,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SA04_18s_3
449,251,212,80,96,47,56,57,66,25,32,24,26,23,30,44,21,16,9,16,42,0,11,25,14,16,13,7,16,9,11,14,7,6,10,9,17,13,18,15,14,3,11,9,11,6,5,2,4,1,0,10,2,7,8,6,7,14,9,0,9,1,0,6,10,11,5,3,4,1,7,9,5,4,4,5,4,5,0,6,5,1,4,3,0,1,3,6,4,6,3,2,3,1,6,4,6,2,5,1,3,0,5,1,6,1,2,2,0,5,1,11,0,2,2,0,3,1,0,0,3,1,1,3,1,1,1,5,0,4,1,1,2,1,1,2,3,0,1,4,3,1,1,0,10,1,2,1,4,0,0,0,1,1,1,1,1,1,0,0,2,0,0,1,1,0,0,0,3,0,0,0,0,0,3,2,1,2,0,0,1,1,1,2,0,2,0,2,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,0,1,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,SMP02_18s_1
608,339,237,112,160,68,60,62,69,48,35,34,29,25,21,42,18,40,16,18,25,1,30,29,20,24,10,16,26,15,10,10,9,21,18,6,4,17,12,18,10,0,8,26,11,13,16,21,9,4,9,4,15,3,4,14,12,7,5,3,5,5,6,6,10,3,6,6,8,4,7,5,5,8,3,3,4,5,0,3,4,4,2,7,5,7,7,2,5,3,2,4,2,3,9,4,2,3,7,0,7,5,3,4,4,2,0,6,4,3,0,0,0,6,2,0,0,2,1,0,3,1,5,1,1,1,5,0,1,1,3,5,0,4,3,2,1,7,5,0,3,1,1,0,0,0,2,2,1,1,0,3,2,0,1,0,0,4,3,2,1,0,3,1,1,1,1,0,0,1,1,1,0,0,0,1,3,0,1,1,1,2,1,1,1,1,0,0,0,1,1,2,0,0,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,SC02_18s_1
762,406,416,371,160,95,111,88,71,38,60,46,53,57,76,46,33,31,54,45,19,0,23,56,44,29,44,29,24,25,26,25,44,22,18,19,50,22,2,15,13,69,26,11,10,13,10,6,19,33,23,11,1,10,31,13,23,6,10,18,8,19,8,14,8,18,15,3,10,7,11,13,9,3,6,14,2,13,10,6,5,4,21,3,6,11,4,5,8,6,7,3,5,0,3,1,8,7,5,6,9,7,8,5,3,3,3,5,4,6,5,5,0,0,3,6,6,4,5,3,2,1,7,0,3,4,5,9,3,1,3,4,1,5,0,6,3,0,0,2,5,3,5,0,0,2,3,0,0,2,0,1,0,2,2,2,2,1,9,2,1,3,1,2,2,0,8,0,0,0,2,0,0,2,0,3,0,0,2,0,1,0,0,0,1,0,1,0,3,1,1,0,2,0,0,1,2,0,0,0,2,1,1,2,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,1,1,2,1,SMP04_18s_3
974,545,494,227,257,129,113,99,100,55,89,67,83,83,104,53,37,59,54,43,22,0,54,68,29,35,43,35,47,40,26,46,14,14,24,57,22,34,33,38,27,14,21,44,23,14,20,81,30,18,14,15,11,14,13,18,10,15,12,22,13,6,15,11,12,10,17,10,18,12,15,12,8,9,13,4,6,5,12,11,10,4,11,10,10,3,12,8,7,5,4,6,6,0,8,4,3,4,11,13,10,7,4,5,14,6,4,7,5,7,7,3,22,13,5,2,3,5,4,10,3,2,3,5,4,7,4,4,7,7,6,6,6,3,11,4,3,3,2,3,3,5,2,12,3,2,3,3,3,3,3,3,1,4,3,3,3,3,2,1,3,5,1,1,0,3,1,0,1,2,3,3,1,0,3,3,4,0,4,2,1,1,1,2,1,2,2,1,0,1,1,1,1,1,1,1,0,2,0,0,1,0,0,2,3,1,0,1,1,0,2,3,2,1,0,3,1,0,0,2,1,0,0,0,0,3,0,2,2,4,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SC04_18s_3
720,410,402,178,192,97,81,76,120,87,41,37,44,40,26,72,49,71,36,31,32,0,37,31,34,22,13,34,24,18,14,17,29,17,21,27,29,11,13,13,10,4,16,25,16,19,19,17,16,20,21,18,22,24,10,18,9,13,14,13,14,18,12,16,12,10,4,9,9,14,19,7,7,12,7,7,15,4,21,7,7,9,10,6,7,7,2,1,6,6,6,3,4,5,9,5,5,2,3,2,2,5,4,4,2,10,2,2,3,1,3,2,1,1,2,2,3,5,2,6,5,1,3,9,2,1,3,2,0,1,3,5,3,5,0,3,3,1,5,2,2,5,3,18,1,1,2,1,4,2,2,1,3,0,4,4,0,2,0,2,4,7,0,0,1,0,0,0,1,4,1,0,1,1,1,1,0,2,2,2,1,1,1,1,1,3,1,4,2,1,0,3,1,2,1,1,1,0,2,0,1,0,0,0,0,1,1,0,1,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,SC01_18s_1
780,466,427,251,181,124,85,81,88,40,34,59,63,52,33,43,42,26,41,43,7,0,35,43,35,36,26,35,30,34,33,34,14,21,29,13,13,11,21,13,13,4,12,23,22,10,12,13,20,6,13,24,32,36,11,10,12,24,15,13,9,7,15,9,11,3,13,7,9,13,12,13,9,8,10,7,6,5,4,11,10,6,4,12,5,8,9,8,11,10,11,8,9,7,6,4,11,4,5,4,9,6,5,5,6,10,6,4,8,5,2,9,0,8,3,2,1,3,1,9,4,2,5,1,7,9,1,2,5,7,2,6,1,5,7,2,1,4,0,1,3,2,1,1,3,7,1,1,2,5,2,3,1,1,0,0,1,1,5,0,5,0,4,1,2,2,0,0,0,2,2,3,2,2,0,1,0,3,0,0,2,1,0,2,3,1,4,1,1,0,1,0,2,1,1,3,1,0,0,1,1,1,0,0,0,4,3,2,0,3,0,0,1,0,0,0,0,1,1,0,0,3,0,0,1,2,5,0,1,0,0,0,0,1,0,0,1,0,0,2,1,0,0,1,0,0,0,1,0,0,0,SC03_18s_1
872,455,451,241,193,129,95,95,81,34,46,53,65,43,38,55,32,45,33,30,18,0,25,26,35,26,28,22,36,20,26,26,25,31,21,31,14,12,19,18,19,15,20,7,16,15,21,12,23,10,16,20,37,16,18,7,15,11,14,3,10,12,18,10,14,6,3,16,8,5,15,5,13,10,9,5,10,8,0,5,4,5,3,13,10,6,6,10,6,12,4,5,7,6,5,8,5,4,9,10,5,5,7,5,11,5,3,5,7,5,7,1,0,6,5,4,3,4,5,6,8,2,6,2,6,1,5,3,5,0,3,5,7,5,10,3,4,1,3,4,1,1,2,3,0,4,3,5,0,1,1,1,2,3,0,0,3,3,0,1,2,0,0,0,3,2,4,0,0,3,1,1,3,3,6,2,2,1,0,2,0,2,4,0,2,1,3,3,0,0,0,1,0,3,1,0,1,0,0,1,1,0,3,0,1,1,0,1,0,0,1,1,0,0,3,0,0,1,0,0,0,0,3,1,0,1,0,0,1,0,2,0,0,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,SC03_18s_3
