Otu,domain,phylum,class,order,family,genus,species
ASV9,Bacteria,Cyanobacteria,Cyanobacteriia,Leptolyngbyales,Leptolyngbyaceae,Chamaesiphon PCC-7430,NA
ASV31,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,NA
ASV42,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,NA
ASV74,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV78,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
ASV132,Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,Elsteraceae,Elstera,NA
ASV25,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,NA
ASV19,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,NA
ASV59,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,Phreatobacter,NA
ASV64,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV16,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV45,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,NA,NA
ASV26,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,NA
ASV98,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera,NA
ASV53,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Runella,NA
ASV30,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadaceae,Armatimonas,NA
ASV40,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV32,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Arcicella,NA
ASV47,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV63,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,NA
ASV108,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Haliscomenobacter,NA
ASV155,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Lacihabitans,NA
ASV117,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV134,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12 marine group,NA,NA
ASV131,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonas,NA
ASV58,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Runella,NA
ASV93,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,NA
ASV88,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV110,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV65,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV152,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Haliscomenobacter,NA
ASV48,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera,NA
ASV52,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV66,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,NA
ASV118,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Haliscomenobacter,NA
ASV54,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
ASV213,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Haliscomenobacter,NA
ASV55,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA
ASV81,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadaceae,Armatimonas,NA
ASV71,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV282,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV245,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Haliscomenobacter,NA
ASV201,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Haliscomenobacter,NA
ASV82,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,NA
ASV94,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12 marine group,NA,NA
ASV290,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,NA
ASV34,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
ASV129,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Runella,NA
ASV56,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,NA
ASV179,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,NA
ASV184,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,NA
ASV276,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV284,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Haliscomenobacter,NA
ASV173,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,NA
ASV167,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Haliscomenobacter,NA
ASV388,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,NA
ASV260,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV85,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV332,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,env.OPS 17,NA,NA
ASV178,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Haliscomenobacter,NA
ASV77,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12 marine group,NA,NA
ASV101,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV234,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Haliscomenobacter,NA
ASV356,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV76,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,NA
ASV62,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,NA
ASV223,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV338,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,NA
ASV317,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV105,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV142,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Haliscomenobacter,NA
ASV69,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,NA
ASV281,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
ASV210,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV190,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV237,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV292,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Haliscomenobacter,NA
ASV137,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV99,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera,NA
ASV172,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12 marine group,NA,NA
ASV219,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,NA
ASV192,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV68,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonas,NA
ASV171,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,NA
ASV355,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,NA
ASV191,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Haliscomenobacter,NA
ASV315,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Haliscomenobacter,NA
ASV120,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
ASV349,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV100,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12 marine group,NA,NA
ASV96,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadaceae,Armatimonas,NA
ASV595,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV122,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,NA
ASV263,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV103,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadaceae,Armatimonas,NA
ASV244,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV198,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12 marine group,NA,NA
ASV250,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,NA
ASV126,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV382,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,NA
ASV160,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,NA,NA
ASV406,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV150,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,NA
ASV145,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12 marine group,NA,NA
ASV225,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV295,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,NA
ASV106,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12 marine group,NA,NA
ASV289,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Haliscomenobacter,NA
ASV205,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,NA
ASV204,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV202,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV247,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV365,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Haliscomenobacter,NA
ASV146,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV396,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV283,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Haliscomenobacter,NA
ASV67,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Edaphobaculum,NA
ASV447,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV136,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonas,NA
ASV374,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV256,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV90,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
