Otu,domain,phylum,class,order,family,genus,species
ASV4,Eukaryota,Cryptomycota,NA,NA,NA,NA,NA
ASV1,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Achnanthidium,NA
ASV22,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Telotrochidium,NA
ASV2,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Achnanthidium,NA
ASV15,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV5,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Achnanthidium,NA
ASV3,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Gomphonema,NA
ASV9,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,NA,NA
ASV42,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Vorticella,NA
ASV48,Eukaryota,Chytridiomycota,Chytridiomycetes,Rhizophydiales,Rhizophydiaceae,Rhizophydium,NA
ASV11,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Nitzschia,NA
ASV24,Eukaryota,NA,Trebouxiophyceae,NA,NA,NA,NA
ASV44,Eukaryota,Chytridiomycota,Chytridiomycetes,Rhizophydiales,Rhizophydiaceae,Rhizophydium,NA
ASV53,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Vorticella,NA
ASV7,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Achnanthidium,NA
ASV18,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Nitzschia,NA
ASV14,Eukaryota,NA,Tubulinea,NA,NA,BOLA868,NA
ASV33,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV27,Eukaryota,Cryptomycota,NA,NA,NA,NA,NA
ASV28,Eukaryota,NA,NA,NA,NA,NA,NA
ASV37,Eukaryota,Cryptomycota,NA,NA,NA,NA,NA
ASV29,Eukaryota,NA,Chlorophyceae,Sphaeropleales,NA,Dictyococcus,NA
ASV10,Eukaryota,NA,NA,NA,NA,NA,NA
ASV8,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Achnanthidium,NA
ASV38,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Phyllopharyngea,Chilodonella,NA
ASV16,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Nitzschia,NA
ASV12,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Achnanthidium,NA
ASV6,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Gomphonema,NA
ASV17,Eukaryota,NA,NA,NA,NA,NA,NA
ASV54,Eukaryota,NA,Chlorophyceae,Sphaeropleales,NA,Dictyococcus,NA
ASV94,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Vorticella,NA
ASV21,Eukaryota,NA,Chrysophyceae,Chromulinales,NA,Spumella,NA
ASV32,Eukaryota,NA,NA,NA,NA,NA,NA
ASV62,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV20,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Gomphonema,NA
ASV26,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Achnanthidium,NA
ASV66,Eukaryota,Cryptomycota,NA,NA,NA,NA,NA
ASV55,Eukaryota,Cryptomycota,NA,NA,NA,NA,NA
ASV36,Eukaryota,Ciliophora,Intramacronucleata,Litostomatea,Haptoria,NA,NA
ASV49,Eukaryota,NA,NA,NA,NA,NA,NA
ASV31,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Gomphonema,NA
ASV25,Eukaryota,Cryptomycota,NA,NA,NA,NA,NA
ASV50,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Phyllopharyngea,Phascolodon,NA
ASV19,Eukaryota,NA,NA,NA,NA,NA,NA
ASV79,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Hypotrichia,Hemiurosomoida,NA
ASV71,Eukaryota,NA,Chlorophyceae,Sphaeropleales,NA,Dictyococcus,NA
ASV23,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Gomphonema,NA
ASV13,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Gomphonema,NA
ASV107,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,NA,NA
ASV83,Eukaryota,Cryptomycota,NA,NA,NA,NA,NA
ASV40,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Navicula,NA
ASV84,Eukaryota,NA,Chlorophyceae,Sphaeropleales,NA,Dictyococcus,NA
ASV39,Eukaryota,NA,NA,NA,NA,NA,NA
ASV43,Eukaryota,NA,NA,NA,NA,NA,NA
ASV69,Eukaryota,NA,NA,NA,NA,NA,NA
ASV120,Eukaryota,Cercozoa,Thecofilosea,Cryomonadida,Rhizaspididae,Rhogostoma,NA
ASV144,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Euplotia,Aspidisca,NA
ASV41,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Gomphonema,NA
ASV52,Eukaryota,NA,Chrysophyceae,Ochromonadales,NA,Paraphysomonas,NA
ASV129,Eukaryota,NA,NA,NA,NA,NA,NA
ASV30,Eukaryota,Cryptomycota,NA,NA,NA,NA,NA
ASV63,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Achnanthidium,NA
ASV114,Eukaryota,Nematozoa,Chromadorea,Chromadorida,NA,NA,NA
ASV98,Eukaryota,NA,NA,NA,NA,NA,NA
ASV85,Eukaryota,Diatomea,NA,NA,Melosirids,Melosira,NA
ASV138,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Euplotia,Aspidisca,NA
ASV97,Eukaryota,Cryptomycota,NA,NA,NA,NA,NA
ASV113,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV57,Eukaryota,Cryptomycota,NA,NA,NA,NA,NA
ASV65,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Nitzschia,NA
ASV116,Eukaryota,Diatomea,NA,Fragilariales,NA,Ulnaria,NA
ASV61,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Achnanthidium,NA
ASV103,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV86,Eukaryota,Cryptomycota,NA,NA,NA,NA,NA
ASV56,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Nitzschia,NA
ASV81,Eukaryota,NA,NA,NA,NA,NA,NA
ASV74,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Achnanthidium,NA
ASV46,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Achnanthidium,NA
ASV34,Eukaryota,Ciliophora,Intramacronucleata,Litostomatea,Haptoria,Amphileptus,NA
ASV45,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Planothidium,NA
ASV115,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Gomphonema,NA
ASV58,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Prostomatea,Cryptocaryon,NA
ASV193,Eukaryota,Rotifera,Monogononta,Ploimida,NA,NA,NA
ASV75,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Planothidium,NA
ASV139,Eukaryota,NA,Chrysophyceae,Chromulinales,NA,Spumella,NA
ASV64,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV95,Eukaryota,NA,NA,NA,NA,NA,NA
ASV112,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV106,Eukaryota,NA,Chlorophyceae,Sphaeropleales,NA,Dictyococcus,NA
ASV87,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Planothidium,NA
