Otu,domain,phylum,class,order,family,genus,species
ASV4,Eukaryota,Cryptomycota,NA,NA,NA,NA,NA
ASV26,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV24,Eukaryota,Diatomea,NA,NA,Melosirids,Melosira,NA
ASV17,Eukaryota,NA,Trebouxiophyceae,NA,NA,NA,NA
ASV1,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Achnanthidium,NA
ASV15,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV55,Eukaryota,Diatomea,NA,Fragilariales,NA,Ulnaria,NA
ASV3,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Gomphonema,NA
ASV65,Eukaryota,NA,NA,NA,NA,NA,NA
ASV9,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Nitzschia,NA
ASV2,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Achnanthidium,NA
ASV20,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Nitzschia,NA
ASV45,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Vorticella,NA
ASV51,Eukaryota,Chytridiomycota,Chytridiomycetes,Rhizophydiales,Rhizophydiaceae,Rhizophydium,NA
ASV38,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV47,Eukaryota,Chytridiomycota,Chytridiomycetes,Rhizophydiales,Rhizophydiaceae,Rhizophydium,NA
ASV16,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Nitzschia,NA
ASV77,Eukaryota,Diatomea,NA,Fragilariales,NA,Ulnaria,NA
ASV5,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Achnanthidium,NA
ASV57,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Vorticella,NA
ASV43,Eukaryota,NA,Trebouxiophyceae,NA,NA,NA,NA
ASV28,Eukaryota,Cryptomycota,NA,NA,NA,NA,NA
ASV11,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Nitzschia,NA
ASV29,Eukaryota,NA,NA,NA,NA,NA,NA
ASV10,Eukaryota,NA,NA,NA,NA,NA,NA
ASV18,Eukaryota,NA,NA,NA,NA,NA,NA
ASV36,Eukaryota,Cryptomycota,NA,NA,NA,NA,NA
ASV52,Eukaryota,Diatomea,NA,Fragilariales,NA,Fragilaria,NA
ASV54,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Nitzschia,NA
ASV40,Eukaryota,NA,Chlorophyceae,Sphaeropleales,NA,Dictyococcus,NA
ASV60,Eukaryota,NA,Chlorophyceae,Sphaeropleales,NA,Dictyococcus,NA
ASV33,Eukaryota,NA,NA,NA,NA,NA,NA
ASV6,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Gomphonema,NA
ASV70,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV30,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Nitzschia,NA
